,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id_id,stop
0,21945647,2022-07-14 06:24:31,1,"(-13.5522946, -71.8673761)",15,278,SJ07,38.0
1,21945772,2022-07-14 06:25:11,1,"(-13.5515776, -71.8702452)",17,286,SJ07,39.0
2,21946037,2022-07-14 06:26:51,1,"(-13.5499653, -71.8763163)",18,284,SJ07,41.0
3,21946142,2022-07-14 06:27:33,1,"(-13.5492052, -71.8787996)",28,289,SJ07,42.0
4,21946414,2022-07-14 06:29:08,1,"(-13.547809, -71.8839344)",38,289,SJ07,46.0
5,21946848,2022-07-14 06:31:43,1,"(-13.5442233, -71.8879618)",20,283,SJ07,48.0
6,21947468,2022-07-14 06:35:05,1,"(-13.5441952, -71.8959262)",20,299,SJ07,52.0
7,21947600,2022-07-14 06:35:49,1,"(-13.5426949, -71.8980298)",15,300,SJ07,53.0
8,21947787,2022-07-14 06:37:02,1,"(-13.5379388, -71.904711)",50,303,SJ07,57.0
9,21948594,2022-07-14 06:41:45,1,"(-13.532785, -71.9222855)",44,264,SJ07,65.0
10,21948830,2022-07-14 06:43:13,1,"(-13.5316772, -71.9270098)",38,285,SJ07,67.0
11,21949445,2022-07-14 06:46:46,1,"(-13.5280703, -71.9396898)",11,287,SJ07,73.0
12,21949688,2022-07-14 06:48:09,1,"(-13.5273141, -71.9456675)",38,275,SJ07,75.0
13,21949892,2022-07-14 06:49:09,1,"(-13.5252853, -71.9529385)",32,287,SJ07,78.0
14,21950656,2022-07-14 06:53:03,1,"(-13.5211781, -71.9664556)",6,290,SJ07,83.0
15,21952537,2022-07-14 07:01:09,1,"(-13.523476, -71.9797733)",7,296,SJ07,90.0
16,21952898,2022-07-14 07:02:50,1,"(-13.5224958, -71.9818358)",9,291,SJ07,91.0
17,21953799,2022-07-14 07:07:05,1,"(-13.5251798, -71.9835967)",4,202,SJ07,93.0
18,21954693,2022-07-14 07:10:57,1,"(-13.5293165, -71.9831398)",19,167,SJ07,97.0
19,21955076,2022-07-14 07:13:07,1,"(-13.53043, -71.9796837)",14,192,SJ07,100.0
20,21955960,2022-07-14 07:17:24,1,"(-13.5377759, -71.9802608)",33,206,SJ07,104.0
21,21956771,2022-07-14 07:21:20,1,"(-13.5470509, -71.9848685)",26,212,SJ07,112.0
22,21957046,2022-07-14 07:22:32,1,"(-13.550528, -71.9890521)",27,227,SJ07,115.0
23,21986335,2022-07-14 09:32:17,2,"(-13.5522136, -71.8674789)",12,284,SJ07,38.0
24,21986724,2022-07-14 09:34:00,2,"(-13.5506797, -71.8737414)",35,286,SJ07,40.0
25,21986917,2022-07-14 09:34:48,2,"(-13.5500236, -71.8760346)",20,286,SJ07,41.0
26,21987580,2022-07-14 09:37:42,2,"(-13.5477775, -71.8839701)",27,285,SJ07,46.0
27,21987800,2022-07-14 09:38:40,2,"(-13.5470277, -71.8868888)",27,283,SJ07,47.0
28,21989112,2022-07-14 09:44:42,2,"(-13.5458689, -71.8911205)",37,283,SJ07,50.0
29,21989512,2022-07-14 09:46:23,2,"(-13.542837, -71.8978762)",6,302,SJ07,53.0
30,21989784,2022-07-14 09:47:37,2,"(-13.5417718, -71.8993235)",36,306,SJ07,54.0
31,21989919,2022-07-14 09:48:14,2,"(-13.5404594, -71.901091)",17,303,SJ07,55.0
32,21990040,2022-07-14 09:48:39,2,"(-13.5393269, -71.9026899)",33,308,SJ07,56.0
33,21991443,2022-07-14 09:55:01,2,"(-13.5327762, -71.9221069)",42,264,SJ07,65.0
34,21991666,2022-07-14 09:55:57,2,"(-13.5316096, -71.9271515)",40,285,SJ07,67.0
35,21991966,2022-07-14 09:57:32,2,"(-13.530138, -71.9322816)",8,286,SJ07,69.0
36,21992207,2022-07-14 09:58:37,2,"(-13.5294992, -71.9347444)",25,286,SJ07,70.0
37,21992256,2022-07-14 09:58:49,2,"(-13.5291678, -71.9358404)",40,287,SJ07,71.0
38,21992356,2022-07-14 09:59:13,2,"(-13.5284862, -71.9382094)",34,285,SJ07,72.0
39,21992633,2022-07-14 10:00:28,2,"(-13.5275759, -71.9430899)",7,273,SJ07,74.0
40,21993051,2022-07-14 10:01:41,2,"(-13.5272794, -71.9456754)",20,276,SJ07,75.0
41,21994713,2022-07-14 10:09:47,2,"(-13.5211608, -71.9665627)",11,291,SJ07,83.0
42,21997357,2022-07-14 10:22:19,2,"(-13.5234962, -71.9797114)",8,296,SJ07,90.0
43,21998867,2022-07-14 10:29:21,2,"(-13.5253578, -71.9836129)",6,202,SJ07,93.0
44,21999501,2022-07-14 10:32:11,2,"(-13.5277529, -71.9823502)",13,204,SJ07,95.0
45,21999783,2022-07-14 10:33:26,2,"(-13.5293974, -71.9831378)",22,165,SJ07,97.0
46,22001550,2022-07-14 10:40:36,2,"(-13.5411411, -71.9815837)",7,211,SJ07,107.0
47,22001560,2022-07-14 10:40:36,2,"(-13.5411411, -71.9815837)",7,211,SJ07,107.0
48,22002121,2022-07-14 10:43:43,2,"(-13.545919, -71.9841041)",24,221,SJ07,111.0
49,22002208,2022-07-14 10:44:07,2,"(-13.547445, -71.9851811)",33,217,SJ07,113.0
50,22002400,2022-07-14 10:44:56,2,"(-13.5496703, -71.9879873)",12,230,SJ07,114.0
51,22027777,2022-07-14 12:37:35,3,"(-13.5523144, -71.8673667)",26,284,SJ07,38.0
52,22027921,2022-07-14 12:38:15,3,"(-13.5516071, -71.8702333)",19,282,SJ07,39.0
53,22028246,2022-07-14 12:39:44,3,"(-13.5500101, -71.8761254)",5,283,SJ07,41.0
54,22028574,2022-07-14 12:41:06,3,"(-13.5488724, -71.8800142)",9,282,SJ07,43.0
55,22028621,2022-07-14 12:41:20,3,"(-13.5486895, -71.8808067)",30,285,SJ07,44.0
56,22028759,2022-07-14 12:41:56,3,"(-13.5478069, -71.8839598)",27,289,SJ07,46.0
57,22029106,2022-07-14 12:43:24,3,"(-13.5470079, -71.8870411)",16,282,SJ07,47.0
58,22030643,2022-07-14 12:50:06,3,"(-13.5418295, -71.8993274)",27,306,SJ07,54.0
59,22031437,2022-07-14 12:52:50,3,"(-13.5363467, -71.907151)",23,308,SJ07,58.0
60,22031440,2022-07-14 12:53:25,3,"(-13.5352525, -71.9088734)",40,302,SJ07,59.0
61,22032201,2022-07-14 12:57:02,3,"(-13.532529, -71.920656)",8,256,SJ07,64.0
62,22032332,2022-07-14 12:57:35,3,"(-13.532826, -71.9223984)",22,267,SJ07,65.0
63,22033675,2022-07-14 13:03:42,3,"(-13.5280811, -71.9396676)",23,288,SJ07,73.0
64,22034589,2022-07-14 13:07:42,3,"(-13.5266888, -71.9483976)",10,283,SJ07,76.0
65,22034744,2022-07-14 13:08:28,3,"(-13.5259994, -71.9505806)",17,291,SJ07,77.0
66,22035064,2022-07-14 13:09:51,3,"(-13.5242957, -71.9559979)",8,290,SJ07,79.0
67,22036189,2022-07-14 13:14:48,3,"(-13.5216939, -71.964722)",23,290,SJ07,82.0
68,22036446,2022-07-14 13:16:00,3,"(-13.5212133, -71.9663882)",17,290,SJ07,83.0
69,22037249,2022-07-14 13:19:35,3,"(-13.5220556, -71.972055)",9,177,SJ07,85.0
70,22038248,2022-07-14 13:24:04,3,"(-13.5250034, -71.9767222)",20,287,SJ07,89.0
71,22042573,2022-07-14 13:43:13,3,"(-13.5394609, -71.9810461)",21,200,SJ07,105.0
72,22042877,2022-07-14 13:44:36,3,"(-13.5420308, -71.9821986)",18,201,SJ07,108.0
73,22043674,2022-07-14 13:47:54,3,"(-13.5460335, -71.9842071)",22,221,SJ07,111.0
74,22075164,2022-07-14 16:12:23,4,"(-13.5294538, -71.9346935)",15,287,SJ07,70.0
75,22083501,2022-07-14 16:48:33,4,"(-13.5307707, -71.9819551)",19,70,SJ07,99.0
