,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,22035143,2022-07-14 13:10:12,3,"(-13.5546319, -71.856416)",10,12,SJ18
1,22035225,2022-07-14 13:10:31,3,"(-13.5549903, -71.8559822)",16,155,SJ18
2,22035312,2022-07-14 13:10:55,3,"(-13.5557528, -71.8559596)",15,266,SJ18
3,22035371,2022-07-14 13:11:09,3,"(-13.5552873, -71.8566908)",34,304,SJ18
4,22035454,2022-07-14 13:11:29,3,"(-13.5547054, -71.8574646)",15,304,SJ18
5,22035541,2022-07-14 13:11:50,3,"(-13.5542583, -71.8581422)",15,301,SJ18
6,22035584,2022-07-14 13:12:02,3,"(-13.5538416, -71.8589058)",37,291,SJ18
7,22035628,2022-07-14 13:12:14,3,"(-13.553555, -71.8601889)",45,280,SJ18
8,22035670,2022-07-14 13:12:27,3,"(-13.5534116, -71.861335)",13,276,SJ18
9,22035715,2022-07-14 13:12:42,3,"(-13.5532691, -71.8620312)",22,275,SJ18
10,22035764,2022-07-14 13:12:54,3,"(-13.5531279, -71.8630779)",40,278,SJ18
11,22035826,2022-07-14 13:13:14,3,"(-13.5530153, -71.8640035)",21,278,SJ18
12,22035875,2022-07-14 13:13:26,3,"(-13.5528728, -71.8648833)",30,279,SJ18
13,22035933,2022-07-14 13:13:42,3,"(-13.5527005, -71.8656539)",17,283,SJ18
14,22035984,2022-07-14 13:13:55,3,"(-13.5524855, -71.8665457)",34,284,SJ18
15,22036035,2022-07-14 13:14:07,3,"(-13.5522716, -71.8674556)",23,283,SJ18
16,22036086,2022-07-14 13:14:21,3,"(-13.5520803, -71.8682155)",32,282,SJ18
17,22036135,2022-07-14 13:14:33,3,"(-13.5518136, -71.8693147)",38,283,SJ18
18,22036188,2022-07-14 13:14:46,3,"(-13.5515562, -71.8703087)",13,280,SJ18
19,22036232,2022-07-14 13:14:59,3,"(-13.5513453, -71.8711642)",35,283,SJ18
20,22036284,2022-07-14 13:15:11,3,"(-13.551087, -71.872236)",36,283,SJ18
21,22036322,2022-07-14 13:15:23,3,"(-13.5507842, -71.8733232)",35,285,SJ18
22,22036388,2022-07-14 13:15:44,3,"(-13.5505558, -71.8741852)",18,284,SJ18
23,22036435,2022-07-14 13:15:56,3,"(-13.5503171, -71.8750218)",32,286,SJ18
24,22036478,2022-07-14 13:16:08,3,"(-13.5500234, -71.875984)",19,291,SJ18
25,22036556,2022-07-14 13:16:27,3,"(-13.5497923, -71.8768053)",35,287,SJ18
26,22036601,2022-07-14 13:16:39,3,"(-13.5494206, -71.8780485)",45,287,SJ18
27,22036647,2022-07-14 13:16:51,3,"(-13.5490723, -71.8791992)",36,286,SJ18
28,22036689,2022-07-14 13:17:03,3,"(-13.5488313, -71.8800401)",20,283,SJ18
29,22036730,2022-07-14 13:17:19,3,"(-13.5486634, -71.8807606)",15,283,SJ18
30,22036785,2022-07-14 13:17:32,3,"(-13.548458, -71.8816207)",35,285,SJ18
31,22036838,2022-07-14 13:17:44,3,"(-13.5481244, -71.8827577)",37,285,SJ18
32,22036905,2022-07-14 13:17:56,3,"(-13.547882, -71.8836439)",23,287,SJ18
33,22036969,2022-07-14 13:18:16,3,"(-13.5476948, -71.8843214)",16,281,SJ18
34,22037061,2022-07-14 13:18:41,3,"(-13.5475004, -71.8850224)",10,287,SJ18
35,22037172,2022-07-14 13:19:08,3,"(-13.547318, -71.8857089)",19,284,SJ18
36,22037186,2022-07-14 13:19:20,3,"(-13.5471317, -71.8863986)",23,282,SJ18
37,22037243,2022-07-14 13:19:32,3,"(-13.5469542, -71.8870667)",22,282,SJ18
38,22037294,2022-07-14 13:19:47,3,"(-13.5467869, -71.8877731)",12,284,SJ18
39,22037377,2022-07-14 13:20:10,3,"(-13.5462438, -71.8877887)",17,20,SJ18
40,22037445,2022-07-14 13:20:27,3,"(-13.5455105, -71.8875666)",19,16,SJ18
41,22037488,2022-07-14 13:20:39,3,"(-13.5449407, -71.887402)",19,14,SJ18
42,22037547,2022-07-14 13:20:54,3,"(-13.5443505, -71.8874269)",18,297,SJ18
43,22037959,2022-07-14 13:22:47,3,"(-13.5442092, -71.8881374)",2,224,SJ18
44,22038161,2022-07-14 13:23:37,3,"(-13.5448329, -71.8883879)",6,195,SJ18
45,22038257,2022-07-14 13:24:00,3,"(-13.5455601, -71.8886646)",22,199,SJ18
46,22038297,2022-07-14 13:24:12,3,"(-13.5461808, -71.8888639)",18,197,SJ18
47,22038446,2022-07-14 13:24:53,3,"(-13.5464063, -71.8893598)",12,277,SJ18
48,22038495,2022-07-14 13:25:11,3,"(-13.5461562, -71.8901298)",18,298,SJ18
49,22038865,2022-07-14 13:26:07,3,"(-13.5454305, -71.892432)",25,284,SJ18
50,22038869,2022-07-14 13:26:19,3,"(-13.545173, -71.893498)",39,285,SJ18
51,22038871,2022-07-14 13:26:40,3,"(-13.5448712, -71.8944454)",20,289,SJ18
52,22038868,2022-07-14 13:26:52,3,"(-13.5445536, -71.8952888)",36,293,SJ18
53,22038930,2022-07-14 13:27:04,3,"(-13.5439446, -71.8963145)",41,303,SJ18
54,22038984,2022-07-14 13:27:16,3,"(-13.5432932, -71.8972795)",33,305,SJ18
55,22039035,2022-07-14 13:27:28,3,"(-13.5426784, -71.8981039)",36,307,SJ18
56,22039081,2022-07-14 13:27:40,3,"(-13.5419775, -71.8990522)",33,306,SJ18
57,22039158,2022-07-14 13:28:02,3,"(-13.5415302, -71.8996488)",25,305,SJ18
58,22039215,2022-07-14 13:28:14,3,"(-13.5408973, -71.9004927)",39,306,SJ18
59,22039305,2022-07-14 13:28:36,3,"(-13.540417, -71.9011266)",25,304,SJ18
60,22039356,2022-07-14 13:28:48,3,"(-13.5398321, -71.9020028)",39,306,SJ18
61,22039399,2022-07-14 13:29:00,3,"(-13.5390841, -71.9030369)",42,307,SJ18
62,22039449,2022-07-14 13:29:12,3,"(-13.5384112, -71.904018)",24,304,SJ18
63,22039499,2022-07-14 13:29:24,3,"(-13.5378868, -71.9048129)",31,304,SJ18
64,22039545,2022-07-14 13:29:36,3,"(-13.5373481, -71.90562)",25,307,SJ18
65,22039631,2022-07-14 13:29:53,3,"(-13.5369443, -71.9061991)",19,303,SJ18
66,22039641,2022-07-14 13:30:07,3,"(-13.5365366, -71.9068417)",17,303,SJ18
67,22039750,2022-07-14 13:30:37,3,"(-13.5361225, -71.9074186)",23,303,SJ18
68,22039797,2022-07-14 13:30:49,3,"(-13.5355437, -71.9082731)",39,302,SJ18
69,22039874,2022-07-14 13:31:09,3,"(-13.5350485, -71.9090458)",21,301,SJ18
70,22039911,2022-07-14 13:31:21,3,"(-13.5345047, -71.9099302)",39,303,SJ18
71,22039955,2022-07-14 13:31:33,3,"(-13.5338033, -71.911001)",36,305,SJ18
72,22040318,2022-07-14 13:33:11,3,"(-13.5333752, -71.9116397)",9,297,SJ18
73,22040402,2022-07-14 13:33:29,3,"(-13.5329746, -71.9123069)",28,306,SJ18
74,22040448,2022-07-14 13:33:41,3,"(-13.5323804, -71.9132214)",36,302,SJ18
75,22040495,2022-07-14 13:33:56,3,"(-13.5318501, -71.9140126)",13,303,SJ18
76,22040610,2022-07-14 13:34:28,3,"(-13.5315673, -71.9146999)",26,286,SJ18
77,22040657,2022-07-14 13:34:40,3,"(-13.5314594, -71.9156872)",37,268,SJ18
78,22040731,2022-07-14 13:34:52,3,"(-13.5317041, -71.9169311)",44,256,SJ18
79,22040781,2022-07-14 13:35:04,3,"(-13.5320513, -71.9183651)",51,257,SJ18
80,22040825,2022-07-14 13:35:16,3,"(-13.5323264, -71.9197492)",38,258,SJ18
81,22041028,2022-07-14 13:36:16,3,"(-13.5324501, -71.9205882)",8,251,SJ18
82,22041076,2022-07-14 13:36:30,3,"(-13.5326487, -71.9213209)",31,254,SJ18
83,22041118,2022-07-14 13:36:42,3,"(-13.5327864, -71.9224558)",33,270,SJ18
84,22041168,2022-07-14 13:36:54,3,"(-13.5326283, -71.9236046)",42,283,SJ18
85,22041212,2022-07-14 13:37:06,3,"(-13.5322184, -71.9249842)",45,287,SJ18
86,22041274,2022-07-14 13:37:27,3,"(-13.5319577, -71.9258834)",25,282,SJ18
87,22041323,2022-07-14 13:37:39,3,"(-13.531673, -71.9268878)",36,286,SJ18
88,22041371,2022-07-14 13:37:52,3,"(-13.5313888, -71.9277992)",5,282,SJ18
89,22041489,2022-07-14 13:38:24,3,"(-13.5311705, -71.9286295)",31,285,SJ18
90,22041536,2022-07-14 13:38:36,3,"(-13.5308429, -71.9297827)",40,285,SJ18
91,22041579,2022-07-14 13:38:48,3,"(-13.5305124, -71.93108)",35,286,SJ18
92,22041627,2022-07-14 13:39:00,3,"(-13.5302425, -71.9319405)",23,290,SJ18
93,22041817,2022-07-14 13:39:51,3,"(-13.5300454, -71.9325958)",23,286,SJ18
94,22041869,2022-07-14 13:40:03,3,"(-13.529816, -71.9335371)",37,283,SJ18
95,22041912,2022-07-14 13:40:15,3,"(-13.5294829, -71.9346534)",21,300,SJ18
96,22042046,2022-07-14 13:40:52,3,"(-13.5292771, -71.9353704)",29,284,SJ18
97,22042091,2022-07-14 13:41:04,3,"(-13.5289951, -71.9363786)",39,286,SJ18
98,22042133,2022-07-14 13:41:16,3,"(-13.5286197, -71.9377631)",52,286,SJ18
99,22042183,2022-07-14 13:41:29,3,"(-13.528215, -71.9391147)",13,284,SJ18
100,22042438,2022-07-14 13:42:40,3,"(-13.5280268, -71.9398206)",15,280,SJ18
101,22042498,2022-07-14 13:42:54,3,"(-13.5278841, -71.9406618)",34,275,SJ18
102,22042547,2022-07-14 13:43:06,3,"(-13.5278083, -71.9417453)",26,276,SJ18
103,22042596,2022-07-14 13:43:18,3,"(-13.5276486, -71.9426778)",23,284,SJ18
104,22042690,2022-07-14 13:43:43,3,"(-13.5275396, -71.9434933)",24,274,SJ18
105,22042736,2022-07-14 13:43:55,3,"(-13.5274414, -71.9443822)",34,276,SJ18
106,22042778,2022-07-14 13:44:07,3,"(-13.5273223, -71.9453547)",27,275,SJ18
107,22042881,2022-07-14 13:44:36,3,"(-13.5271908, -71.946179)",26,278,SJ18
108,22042919,2022-07-14 13:44:48,3,"(-13.5269735, -71.9472913)",41,283,SJ18
109,22043126,2022-07-14 13:45:45,3,"(-13.5266432, -71.9482499)",10,284,SJ18
110,22043184,2022-07-14 13:46:03,3,"(-13.5264605, -71.9490579)",23,283,SJ18
111,22043257,2022-07-14 13:46:22,3,"(-13.5262331, -71.9498114)",25,284,SJ18
112,22043303,2022-07-14 13:46:34,3,"(-13.5259319, -71.9506698)",23,307,SJ18
113,22043471,2022-07-14 13:47:01,3,"(-13.525739, -71.9513586)",26,284,SJ18
114,22043518,2022-07-14 13:47:13,3,"(-13.5254377, -71.9522871)",28,287,SJ18
115,22043574,2022-07-14 13:47:25,3,"(-13.5252219, -71.9529487)",19,302,SJ18
116,22043781,2022-07-14 13:48:15,3,"(-13.5250276, -71.9536728)",24,284,SJ18
117,22043826,2022-07-14 13:48:27,3,"(-13.5247246, -71.9547055)",41,287,SJ18
118,22043867,2022-07-14 13:48:39,3,"(-13.5243116, -71.9558912)",27,301,SJ18
119,22043988,2022-07-14 13:49:11,3,"(-13.5241312, -71.9565999)",26,288,SJ18
120,22044027,2022-07-14 13:49:23,3,"(-13.5238154, -71.9576322)",40,287,SJ18
121,22044078,2022-07-14 13:49:35,3,"(-13.523494, -71.958687)",24,287,SJ18
122,22044191,2022-07-14 13:50:04,3,"(-13.5233383, -71.9592921)",10,276,SJ18
123,22044554,2022-07-14 13:51:23,3,"(-13.5226247, -71.9615028)",23,290,SJ18
124,22044556,2022-07-14 13:51:35,3,"(-13.5223569, -71.9624087)",33,288,SJ18
125,22044905,2022-07-14 13:52:27,3,"(-13.5215825, -71.9649703)",37,287,SJ18
126,22044906,2022-07-14 13:52:43,3,"(-13.5213371, -71.9658773)",10,288,SJ18
127,22045028,2022-07-14 13:53:43,3,"(-13.5211356, -71.966492)",14,287,SJ18
128,22045141,2022-07-14 13:53:57,3,"(-13.5209018, -71.9673036)",27,287,SJ18
129,22045234,2022-07-14 13:54:43,3,"(-13.5206821, -71.968063)",16,281,SJ18
130,22045286,2022-07-14 13:54:56,3,"(-13.5205559, -71.9687311)",20,280,SJ18
131,22045399,2022-07-14 13:55:28,3,"(-13.5205657, -71.9693392)",10,180,SJ18
132,22045495,2022-07-14 13:55:51,3,"(-13.5212571, -71.9694452)",22,190,SJ18
133,22045560,2022-07-14 13:56:07,3,"(-13.5219414, -71.9695685)",15,191,SJ18
134,22045706,2022-07-14 13:56:45,3,"(-13.5226891, -71.9697042)",11,203,SJ18
135,22045778,2022-07-14 13:57:07,3,"(-13.5226337, -71.9704933)",14,278,SJ18
136,22046111,2022-07-14 13:58:31,3,"(-13.5224949, -71.9712473)",8,275,SJ18
137,22046280,2022-07-14 13:59:14,3,"(-13.5230812, -71.972025)",23,175,SJ18
138,22046317,2022-07-14 13:59:26,3,"(-13.5239096, -71.971924)",30,173,SJ18
139,22046419,2022-07-14 13:59:54,3,"(-13.5242147, -71.9724052)",6,279,SJ18
140,22046625,2022-07-14 14:00:48,3,"(-13.5247156, -71.972586)",28,165,SJ18
141,22046666,2022-07-14 14:01:00,3,"(-13.5255605, -71.972242)",22,152,SJ18
142,22046733,2022-07-14 14:01:19,3,"(-13.5262134, -71.9718829)",25,150,SJ18
143,22046800,2022-07-14 14:01:33,3,"(-13.5269053, -71.9717059)",20,259,SJ18
144,22046847,2022-07-14 14:01:45,3,"(-13.52644, -71.9724049)",32,303,SJ18
145,22046909,2022-07-14 14:01:58,3,"(-13.5261336, -71.9731978)",14,289,SJ18
146,22047012,2022-07-14 14:02:25,3,"(-13.5258945, -71.9738981)",23,286,SJ18
147,22047058,2022-07-14 14:02:37,3,"(-13.5256161, -71.9747913)",31,288,SJ18
148,22047131,2022-07-14 14:02:57,3,"(-13.5251007, -71.9750792)",14,13,SJ18
149,22047204,2022-07-14 14:03:19,3,"(-13.5248195, -71.9756574)",16,276,SJ18
150,22047256,2022-07-14 14:03:31,3,"(-13.524785, -71.976339)",23,283,SJ18
151,22047284,2022-07-14 14:03:43,3,"(-13.5245569, -71.9771889)",23,285,SJ18
152,22047415,2022-07-14 14:04:14,3,"(-13.5243105, -71.9779049)",21,295,SJ18
153,22047456,2022-07-14 14:04:26,3,"(-13.5239653, -71.9786582)",28,295,SJ18
154,22047539,2022-07-14 14:04:50,3,"(-13.5236763, -71.9793189)",8,296,SJ18
155,22047782,2022-07-14 14:05:57,3,"(-13.5233853, -71.9799406)",14,295,SJ18
156,22047878,2022-07-14 14:06:22,3,"(-13.5230111, -71.9807069)",17,295,SJ18
157,22048061,2022-07-14 14:07:07,3,"(-13.5226324, -71.9814766)",5,291,SJ18
158,22048293,2022-07-14 14:08:16,3,"(-13.5223999, -71.9820694)",6,255,SJ18
159,22048418,2022-07-14 14:08:52,3,"(-13.5227422, -71.9826599)",4,248,SJ18
160,22048834,2022-07-14 14:10:43,3,"(-13.523261, -71.9829193)",13,190,SJ18
161,22048878,2022-07-14 14:10:57,3,"(-13.5239537, -71.9830971)",17,193,SJ18
162,22049000,2022-07-14 14:11:34,3,"(-13.5246262, -71.9833786)",10,201,SJ18
163,22049245,2022-07-14 14:12:42,3,"(-13.5252982, -71.9836337)",7,203,SJ18
164,22049337,2022-07-14 14:13:06,3,"(-13.5256794, -71.9831594)",24,113,SJ18
165,22049390,2022-07-14 14:13:18,3,"(-13.5259606, -71.982455)",25,109,SJ18
166,22049514,2022-07-14 14:13:49,3,"(-13.5262325, -71.9817331)",10,131,SJ18
167,22049605,2022-07-14 14:14:14,3,"(-13.5269747, -71.982025)",15,202,SJ18
168,22049661,2022-07-14 14:14:28,3,"(-13.5276503, -71.9823375)",20,205,SJ18
169,22049783,2022-07-14 14:15:01,3,"(-13.5280612, -71.9828824)",19,269,SJ18
170,22050311,2022-07-14 14:15:34,3,"(-13.5280472, -71.9836044)",10,261,SJ18
171,22050336,2022-07-14 14:15:53,3,"(-13.5285557, -71.9836116)",26,124,SJ18
172,22050341,2022-07-14 14:16:13,3,"(-13.5292025, -71.9832117)",24,162,SJ18
173,22050346,2022-07-14 14:16:33,3,"(-13.5299509, -71.9830202)",23,162,SJ18
174,22050370,2022-07-14 14:16:47,3,"(-13.5306763, -71.9827923)",25,153,SJ18
175,22050378,2022-07-14 14:17:13,3,"(-13.5308825, -71.9822742)",27,66,SJ18
176,22050401,2022-07-14 14:17:51,3,"(-13.5304758, -71.9806064)",14,77,SJ18
177,22050470,2022-07-14 14:18:20,3,"(-13.5302797, -71.9797889)",24,75,SJ18
178,22050532,2022-07-14 14:18:38,3,"(-13.5308787, -71.9797781)",26,191,SJ18
179,22050592,2022-07-14 14:18:50,3,"(-13.5317873, -71.9800043)",37,192,SJ18
180,22050644,2022-07-14 14:19:02,3,"(-13.5329604, -71.9804489)",43,208,SJ18
181,22050678,2022-07-14 14:19:15,3,"(-13.5338324, -71.9806718)",29,186,SJ18
182,22050753,2022-07-14 14:19:27,3,"(-13.5348863, -71.9807605)",28,176,SJ18
183,22050996,2022-07-14 14:19:45,3,"(-13.535542, -71.9804738)",4,140,SJ18
184,22050999,2022-07-14 14:20:24,3,"(-13.536207, -71.9802858)",14,157,SJ18
185,22051079,2022-07-14 14:21:13,3,"(-13.5368166, -71.9799826)",8,159,SJ18
186,22051166,2022-07-14 14:21:36,3,"(-13.5374508, -71.9801065)",11,206,SJ18
187,22051218,2022-07-14 14:21:50,3,"(-13.5381185, -71.98045)",27,205,SJ18
188,22051256,2022-07-14 14:22:02,3,"(-13.5388642, -71.9808443)",26,205,SJ18
189,22051300,2022-07-14 14:22:14,3,"(-13.5395407, -71.9811017)",23,199,SJ18
190,22051424,2022-07-14 14:22:51,3,"(-13.5402231, -71.9813576)",13,197,SJ18
191,22051470,2022-07-14 14:23:05,3,"(-13.5410089, -71.9815205)",26,202,SJ18
192,22051509,2022-07-14 14:23:17,3,"(-13.5417204, -71.9820135)",29,214,SJ18
193,22051592,2022-07-14 14:23:41,3,"(-13.542376, -71.9821613)",8,138,SJ18
194,22051751,2022-07-14 14:24:26,3,"(-13.5429882, -71.9819639)",13,202,SJ18
195,22051835,2022-07-14 14:24:49,3,"(-13.5436524, -71.9822893)",21,179,SJ18
196,22051862,2022-07-14 14:25:01,3,"(-13.5443405, -71.9821022)",20,164,SJ18
197,22051957,2022-07-14 14:25:31,3,"(-13.545025, -71.9819458)",17,197,SJ18
198,22052007,2022-07-14 14:25:44,3,"(-13.5448716, -71.9824835)",20,311,SJ18
199,22052040,2022-07-14 14:25:56,3,"(-13.5448287, -71.983093)",20,238,SJ18
200,22052101,2022-07-14 14:26:12,3,"(-13.5453092, -71.9835688)",9,223,SJ18
201,22052193,2022-07-14 14:26:38,3,"(-13.5458359, -71.9840835)",20,228,SJ18
202,22052285,2022-07-14 14:27:06,3,"(-13.5463976, -71.9845222)",18,210,SJ18
203,22052351,2022-07-14 14:27:25,3,"(-13.5469992, -71.9848699)",11,206,SJ18
204,22052404,2022-07-14 14:27:39,3,"(-13.54758, -71.9853119)",23,221,SJ18
205,22052447,2022-07-14 14:27:51,3,"(-13.5481375, -71.9859841)",31,234,SJ18
206,22052496,2022-07-14 14:28:03,3,"(-13.5487065, -71.9868542)",33,242,SJ18
207,22052536,2022-07-14 14:28:15,3,"(-13.5493263, -71.9876916)",34,223,SJ18
208,22052569,2022-07-14 14:28:27,3,"(-13.5500334, -71.9884694)",34,229,SJ18
209,22052610,2022-07-14 14:28:39,3,"(-13.5506603, -71.9892306)",33,234,SJ18
210,22052654,2022-07-14 14:28:51,3,"(-13.5511944, -71.9901268)",34,240,SJ18
211,22052726,2022-07-14 14:29:14,3,"(-13.5516254, -71.9908698)",14,238,SJ18
212,22052785,2022-07-14 14:29:28,3,"(-13.5521282, -71.9912421)",21,137,SJ18
213,22052824,2022-07-14 14:29:40,3,"(-13.5518957, -71.9905993)",22,56,SJ18
214,22052869,2022-07-14 14:29:52,3,"(-13.5513627, -71.9898347)",34,52,SJ18
215,22052915,2022-07-14 14:30:04,3,"(-13.5513197, -71.9889275)",25,133,SJ18
216,22052972,2022-07-14 14:30:19,3,"(-13.551344, -71.9882024)",21,87,SJ18
